SL No,Root Author,Root Author Aff,Root phd year,Scholar Link Link,Advisor,Adv aff,Avd phd year
151,Mikko Myrskyla,University of Pennsylvania,2009,https://scholar.google.com/citations?hl=en&user=YrpcxfwAAAAJ,Samuel Hulse Preston,Princeton University,1969
152,Frédéric Mynard,Université de Bourgogne,1999,https://scholar.google.com/citations?hl=en&user=hCnLhwsAAAAJ,Szymon Dolecki,Polska Akademia Nauk,1973
153,Mirko Myllykoski,Jyväskylän yliopisto,2015,https://scholar.google.com/citations?hl=en&user=mCWqMbsAAAAJ,Tuomo Rossi,Jyväskylän yliopisto,1996
154,,,,,Jari Toivanen,Jyväskylän yliopisto,1997
155,Thulasi Mylvaganam,Imperial College London,2014 ,https://scholar.google.com/citations?hl=en&user=fIEuk78AAAAJ,Alessandro Astolfi,ETH Zürich,1995
156,Nitin Jonathan Myers,University of Texas at Austin,2020,https://scholar.google.com/citations?hl=en&user=kzVG8YIAAAAJ,"Robert Wendell Heath, Jr.",Doctor of Philosophy Stanford University,2001
157,Violet Mwaffo,New York University,2017,https://scholar.google.com/citations?hl=en&user=HG3LncIAAAAJ,Maurizio Porfiri,Virginia Polytechnic Institute and State University, 2006
158,Peter Mwita,Universität Kaiserslautern,2003,https://scholar.google.com/citations?hl=en&user=xv9qgbcAAAAJ,Jürgen Franke,Johann Wolfgang Goethe-Universität Frankfurt am Main,1980
159,Irene Muzi,Università di Roma La Sapienza,2017,https://scholar.google.com/citations?hl=en&user=sJAR-aoAAAAJ,Paul Joseph Wollan,Georgia Institute of Technology ,2005
160,Almir Mutapcic,Stanford University, 2008,https://scholar.google.com/citations?hl=en&user=bUbySuQAAAAJ,Stephen Poythress Boyd,"University of California, Berkeley",1985 
161,Ibrahim Muter,Sabanci University,2011,https://scholar.google.com/citations?hl=en&user=f5JdNQEAAAAJ,Ilker S. Birbil,North Carolina State University,2002
162,Raghava Mutharaju,Wright State University, 2016,https://scholar.google.com/citations?hl=en&user=69pEM_YAAAAJ,Pascal Hitzler,University College Cork ,2001
163,Pradeep Muthukrishnan,University of Michigan ,2011,https://scholar.google.com/citations?hl=en&user=J6207_8AAAAJ,Dragomir Radkov Radev,Columbia University ,1999
164,Siddharth Muthu Krishnan,University of Southern California ,2018,https://scholar.google.com/citations?hl=en&user=e-7on_IAAAAJ,Daniel A. Lidar,Hebrew University of Jerusalem ,1997
165,,,,,Tameem Albash,University of Southern California ,2010
166,Matt Mutka,University of Wisconsin-Madison,1988,https://scholar.google.com/citations?hl=en&user=wtUJnOcAAAAJ,Miron Livny,Weizmann Institute of Science ,1984
167,Jan Mutl,University of Maryland College Park ,2006,https://scholar.google.com/citations?hl=en&user=4weAtQgAAAAJ,John Chung Chao,Yale University ,1994
168,,,,,Ingmar R. Prucha,Technische Universität Wien ,1977
169,Onur Mutlu,University of Texas at Austin ,2006,https://scholar.google.com/citations?hl=en&user=7XyGUGkAAAAJ,Yale Nance Patt,Stanford University ,1966
170,Madhu Mutyam,"Indian Institute of Technology, Madras", 2003,https://scholar.google.com/citations?hl=en&user=HS4VEdYAAAAJ,Kamala Krithivasan,University of Madras ,1974
171,Torsten Mütze,ETH Zürich, 2011,https://scholar.google.com/citations?hl=en&user=9232pxwAAAAJ,Angelika Steger,Rheinische Friedrich-Wilhelms-Universität Bonn ,1990
172,Petra Mutzel,Universität zu Köln ,1994,https://scholar.google.com/citations?hl=en&user=XIaaJv8AAAAJ,Michael Jünger,Universität Augsburg ,1983
173,Jogesh K. Muppala,Duke University ,1991,https://scholar.google.com/citations?hl=en&user=cG0My4kAAAAJ,Kishor Shridharbhai Trivedi,University of Illinois at Urbana-Champaign ,1974
174,Pham Quy Muoi,Universität Bremen ,2012,https://scholar.google.com/citations?hl=en&user=AZ-yLQQAAAAJ,Peter Maaß,Technische Universität Berlin, 1988
175,,,,,Dinh Nho Hao,Freie Universität Berlin ,1991
176,Kevin J. Mumford,Stanford University, 2007,https://scholar.google.com/citations?hl=en&user=EkWVaRkAAAAJ,Michael Jay Boskin,"University of California, Berkeley ",1971
