,Root Author,Co Author,Scholar Link
217,,Ken Chen,https://scholar.google.com/citations?user=fYbset4AAAAJ&hl=en&oe=ASCII
218,,Swagatam Das,https://scholar.google.com/citations?user=L8XYpAwAAAAJ&hl=en&oe=ASCII
219,,Yong Wang,https://scholar.google.com/citations?user=JeT6vs0AAAAJ&hl=en&oe=ASCII
220,,Ankush Mandal,https://scholar.google.com/citations?user=N8tfJS4AAAAJ&hl=en&oe=ASCII
221,,Mary C. Farach-Carson,https://scholar.google.com/citations?user=5OSMezYAAAAJ&hl=en&oe=ASCII
222,,Arkabandhu Chowdhury,https://scholar.google.com/citations?user=42v1i_YAAAAJ&hl=en&oe=ASCII
223,,Mohammadamin Edrisi,https://scholar.google.com/citations?user=VI8ohFsAAAAJ&hl=en&oe=ASCII
224,,Chieh Lin,https://scholar.google.com/citations?user=Ddz61kgAAAAJ&hl=en&oe=ASCII
225,,Ziv Bar-Joseph,https://scholar.google.com/citations?user=9DCRnPkAAAAJ&hl=en&oe=ASCII
226,,Joydeep Banerjee,https://scholar.google.com/citations?user=R8fooJcAAAAJ&hl=en&oe=ASCII
227,,Tanmoy Chakraborty,https://scholar.google.com/citations?user=C5S9JnIAAAAJ&hl=en&oe=ASCII
228,,Swaprava Nath,https://scholar.google.com/citations?user=TlpsH9cAAAAJ&hl=en&oe=ASCII
229,,Shamik Sen,https://scholar.google.com/citations?user=hZDN3yUAAAAJ&hl=en&oe=ASCII
230,,Sameer Jadhav,https://scholar.google.com/citations?user=JzwapvYAAAAJ&hl=en&oe=ASCII
231,,Neha Saxena,https://scholar.google.com/citations?user=ALixtoAAAAAJ&hl=en&oe=ASCII
232,,Bijaya Ketan Panigrahi,https://scholar.google.com/citations?user=2d_EOToAAAAJ&hl=en&oe=ASCII
233,Sohail Zafar,ZOHAIB ZAHID,https://scholar.google.com/citations?user=gn7XI4kAAAAJ&hl=en&oe=ASCII
234,,Tabasam Rashid,https://scholar.google.com/citations?user=DEMXFc4AAAAJ&hl=en&oe=ASCII
235,,Dr. Shahzad Faizi,https://scholar.google.com/citations?user=upnXbtQAAAAJ&hl=en&oe=ASCII
236,,Muhammad Faisal Nadeem,https://scholar.google.com/citations?user=NM621A0AAAAJ&hl=en&oe=ASCII
237,,Wojciech Sałabun,https://scholar.google.com/citations?user=PAsiBvsAAAAJ&hl=en&oe=ASCII
238,,Zia Bashir,https://scholar.google.com/citations?user=M5sa9FMAAAAJ&hl=en&oe=ASCII
239,,Adnan Aslam,https://scholar.google.com/citations?user=C4q26l0AAAAJ&hl=en&oe=ASCII
240,,Zeshui Xu (徐泽水),https://scholar.google.com/citations?user=kd9L_GUAAAAJ&hl=en&oe=ASCII
241,Jafar Zafarani,M. Oveisiha,https://scholar.google.com/citations?user=eOIFTNcAAAAJ&hl=en&oe=ASCII
242,,Zeinab Soltani,https://scholar.google.com/citations?user=pp5u3M0AAAAJ&hl=en&oe=ASCII
243,,Marziyeh Darabi,https://scholar.google.com/citations?user=goHm14cAAAAJ&hl=en&oe=ASCII
244,,Mohammad Reza Mahyarinia,https://scholar.google.com/citations?user=fpYgd0IAAAAJ&hl=en&oe=ASCII
245,,S. Mohammad Moshtaghioun,https://scholar.google.com/citations?user=BysYYDkAAAAJ&hl=en&oe=ASCII
246,,Maryam Lotfipour,https://scholar.google.com/citations?user=iLsKOMAAAAAJ&hl=en&oe=ASCII
247,,Jen-Chih Yao,https://scholar.google.com/citations?user=qgMuPMIAAAAJ&hl=en&oe=ASCII
248,Muhammad Zafrullah,"anderson, d. d.",https://scholar.google.com/citations?user=B0AS_C4AAAAJ&hl=en&oe=ASCII
